ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal
8.95,0,7.779199709,30.3257661,30.41866193,0,9.95,0,6.844200816,28.86306625,28.86749654,0,10.95,0,6.096777948,27.5429782,27.45867097,0,11.95,0,5.484591617,26.34603495,26.17270339,0,12.95,0,4.973536959,25.25616374,24.993506,0,13.95,0,4.540301148,24.25997746,23.9076765,0
8.95,0.1,20.47776628,30.1631078,30.26486543,19.57897742,9.95,0.1,18.02142826,28.71610774,28.72940067,18.60439341,10.95,0.1,16.05738316,27.40955189,27.33410674,17.7214273,11.95,0.1,14.44831591,26.22435656,26.05988511,16.9175963,12.95,0.1,13.10474762,25.14475108,24.89095007,16.18258238,13.95,0.1,11.96550991,24.15758901,23.81413996,15.50778212
8.95,0.2,27.7661904,30.00208554,30.11270757,27.54964853,9.95,0.2,24.44221515,28.57054814,28.59270643,26.18539994,10.95,0.2,21.78377056,27.27733027,27.21075006,24.94878052,11.95,0.2,19.60528613,26.10372231,25.94811397,23.82247914,12.95,0.2,17.78583419,25.03424867,24.78930754,22.7921737,13.95,0.2,16.24274265,24.0559983,23.72140445,21.84591227
8.95,0.3,33.39986988,29.84267379,29.96216282,33.57260535,9.95,0.3,29.40935736,28.42636668,28.45739308,31.91866279,10.95,0.3,26.21705878,27.1462963,27.08858393,30.41870642,11.95,0.3,23.60048435,25.98411807,25.83737588,29.05194354,12.95,0.3,21.4146433,24.92464473,24.68856664,27.80115613,13.95,0.3,19.56040704,23.95519543,23.62946009,26.65196381
8.95,0.4,38.12180917,29.68484755,29.81320621,38.57357915,9.95,0.4,33.57605205,28.28354303,28.32344031,36.68300861,10.95,0.4,29.93870646,27.01643327,26.96759164,34.96761165,11.95,0.4,26.9566521,25.86553,25.72765701,33.4038399,12.95,0.4,24.4649324,24.81592769,24.58871584,31.9721761,13.95,0.4,22.35076202,23.85517066,23.53829715,30.65630625
8.95,0.5,42.24077914,29.52858234,29.66581326,42.91335991,9.95,0.5,37.21365289,28.14205722,28.19082816,40.82082567,10.95,0.5,33.19018831,26.88772477,26.84775679,38.92125348,11.95,0.5,29.89081654,25.74794448,25.61894374,37.18881867,12.95,0.5,27.13333992,24.70808618,24.48974375,35.60209837,13.95,0.5,24.79317819,23.75591442,23.44790608,34.14317131
8.95,0.6,45.92101108,29.37385417,29.51996002,46.77810758,9.95,0.6,40.4664387,28.00188971,28.0595371,44.50871701,10.95,0.6,36.09985573,26.76015469,26.7290633,42.44760352,11.95,0.6,32.51830116,25.63134815,25.51122274,40.56701574,12.95,0.6,29.52432773,24.601109,24.39163922,38.84391236,13.95,0.6,26.98292113,23.65741729,23.35827747,37.25900281
8.95,0.7,49.26246374,29.22063955,29.37562298,50.27908481,9.95,0.7,43.42219324,27.8630213,27.92954795,47.85219623,10.95,0.7,38.74577678,26.63370724,26.61149539,45.64698643,11.95,0.7,34.90922963,25.51572789,25.40448089,43.63404807,12.95,0.7,31.70139818,24.49498518,24.29439126,41.78894377,13.95,0.7,28.97788873,23.55966999,23.26940207,40.09119789
8.95,0.8,52.33147315,29.06891546,29.23277916,53.48923141,9.95,0.8,46.13915216,27.7254332,27.80084193,50.92040983,10.95,0.8,41.17972518,26.50836689,26.49503754,48.58512721,11.95,0.8,37.11009347,25.40107078,25.2987053,46.45253832,12.95,0.8,33.70664168,24.38970389,24.19798909,44.49698884,13.95,0.8,30.81644725,23.46266342,23.18127077,42.69696665
8.95,0.9,55.17481315,28.91865933,29.09140601,56.45952559,9.95,0.9,48.65836323,27.58910694,27.6734006,53.76166781,10.95,0.9,43.43818222,26.38411842,26.37967456,51.30793071,11.95,0.9,39.15364244,25.28736415,25.19388331,49.06621177,12.95,0.9,35.56969982,24.28525451,24.10242208,47.00978826,13.95,0.9,32.52560902,23.36638859,23.09387461,45.1162347
8.95,1,57.82698155,28.76984908,28.95148144,59.22731566,9.95,1,51.01009043,27.45402443,27.54720587,56.41135129,10.95,1,45.54803656,26.26094688,26.26539149,53.84900585,11.95,1,41.06400782,25.17459555,25.09000248,51.5070723,12.95,1,37.31240783,24.18162659,24.00767981,49.35788515,13.95,1,34.12526752,23.27083668,23.00720479,47.37820986
8.95,1.1,60.31432213,28.62246302,28.8129838,61.82097297,9.95,1.1,53.21743644,27.32016792,27.42224,58.89632795,10.95,1.1,47.52980776,26.13883758,26.15217368,56.23386653,11.95,1.1,42.85959962,25.06275274,24.98705059,53.79940833,12.95,1.1,38.95141962,24.07880986,23.91375202,51.5644532,13.95,1.1,35.63059199,23.175999,22.92125263,49.50504726
8.95,1.2,62.65751676,28.47647994,28.67589188,64.26267736,9.95,1.2,55.29853248,27.18751998,27.29848559,61.23759499,10.95,1.2,49.39959479,26.0177761,26.04000671,58.48244571,11.95,1.2,44.55485761,24.95182369,24.88501563,55.96219,12.95,1.2,40.49979415,23.9767942,23.8206286,53.64758712,13.95,1.2,37.05347432,23.081867,22.8360096,51.51404215
8.95,1.3,64.87317331,28.33187901,28.54018486,66.5701777,9.95,1.3,57.26793338,27.05606352,27.17592555,63.45194932,10.95,1.3,51.17031715,25.8977483,25.92887645,60.61068413,11.95,1.3,46.16136653,24.84179659,24.78388579,58.01058379,12.95,1.3,41.96800563,23.87556968,23.72829965,55.62174979,13.95,1.3,38.40345034,22.98843227,22.75146729,53.419015
8.95,1.4,66.97488096,28.18863984,28.40584237,68.7579546,9.95,1.4,59.13754463,26.92578177,27.05454314,65.55309043,10.95,1.4,52.85253953,25.77874026,25.81876902,62.6315791,11.95,1.4,47.68859698,24.73265981,24.68364947,59.95695231,12.95,1.4,43.36461465,23.77512652,23.63675539,57.49872723,13.95,1.4,39.68831185,22.89568652,22.66761745,55.23122574
8.95,1.5,68.9739367,28.0467424,28.27284441,70.83801631,9.95,1.5,60.91726041,26.79665827,26.93432192,67.55237528,10.95,1.5,54.4550393,25.66073832,25.70967076,64.55590235,11.95,1.5,49.14441522,24.62440193,24.58429527,61.81153853,12.95,1.5,44.6967298,23.6754551,23.54598622,59.28828226,13.95,1.5,40.91452758,22.80362161,22.58445194,56.95999919
8.95,1.6,70.87986031,27.9061671,28.14117138,72.82046045,9.95,1.6,62.61541589,26.66867687,26.81524573,69.45935094,10.95,1.6,55.9852087,25.54372908,25.60156827,66.39270641,11.95,1.6,50.53544443,24.51701174,24.48581197,63.58294833,12.95,1.6,45.9703349,23.57654597,23.4559827,60.99861536,13.95,1.6,42.08754146,22.71222951,22.50196274,58.61316615
8.95,1.7,72.70076867,27.76689468,28.01080406,74.71388069,9.95,1.7,64.23911583,26.54182171,26.69729874,71.28214013,10.95,1.7,57.44934706,25.42769936,25.49444841,68.14969119,11.95,1.7,51.86732717,24.41047818,24.38818855,65.27849984,12.95,1.7,47.19052658,23.47838981,23.36673554,62.63669826,13.95,1.7,43.21198928,22.62150232,22.42014197,60.19738257
8.95,1.8,74.44365387,27.62890629,27.88172359,76.52566783,9.95,1.8,65.79447881,26.41607723,26.5804654,73.02772672,10.95,1.8,58.85287791,25.3126362,25.38829822,69.83347523,11.95,1.8,53.14492031,24.30479042,24.29141418,66.90448195,12.95,1.8,48.36169081,23.38097746,23.2782356,64.20852076,13.95,1.8,44.29185952,22.53143226,22.33898188,61.71836571
8.95,1.9,76.11459377,27.49218341,27.75391149,78.26223707,9.95,1.9,67.28682194,26.29142815,26.46473045,74.70217105,10.95,1.9,60.20051317,25.19852689,25.28310501,71.44980049,11.95,1.9,54.37244247,24.19993777,24.19547821,68.46634927,12.95,1.9,49.48763632,23.28429993,23.19047387,65.71927691,13.95,1.9,45.33061506,22.44201168,22.25847483,63.18107227
8.95,2,77.71891402,27.35670791,27.62734962,79.92920249,9.95,2,68.72080313,26.16785946,26.3500789,76.31077534,10.95,2,61.49637964,25.08535894,25.1788563,73.00368938,11.95,2,55.55358755,24.09590976,24.10037015,69.96887182,12.95,2,50.57169742,23.18834833,23.10344152,67.17350791,13.95,2,46.33128679,22.35323304,22.17861328,64.58983501
8.95,2.1,79.2613147,27.22246196,27.50202018,81.53151307,9.95,2.1,70.10053218,26.04535645,26.23649604,77.85821253,10.95,2.1,62.74411765,24.97312005,25.07553982,74.49956724,11.95,2.1,56.69161335,23.99269607,24.00607971,71.41625162,12.95,2.1,51.61681414,23.09311396,23.01712983,68.57521338,13.95,2.1,47.29654668,22.26508891,22.09938983,65.94846922
8.95,2.2,80.74597053,27.0894281,27.37790573,83.07356009,9.95,2.2,71.42965872,25.92390463,26.12396741,79.34862804,10.95,2.2,63.94695924,24.86179815,24.97314351,75.94135901,11.95,2.2,57.78941166,23.89028654,23.91259676,72.81221479,12.95,2.2,52.62559569,22.99858822,22.93153024,69.92793922,13.95,2.2,48.22876561,22.17757199,22.02079719,67.26035677
8.95,2.3,82.17661123,26.95758919,27.25498913,84.55926306,9.95,2.3,72.71144263,25.80348982,26.01247884,80.78572118,10.95,2.3,65.10779074,24.7513814,24.87165553,77.33256649,11.95,2.3,58.84956444,23.78867121,23.81991134,74.16008507,12.95,2.3,53.60037129,22.90476266,22.8466343,71.23484784,13.95,2.3,49.13005965,22.09067507,21.94282818,68.52851321
8.95,2.4,83.55658647,26.82692841,27.13325358,85.99213917,9.95,2.4,73.94881111,25.68409807,25.90201638,82.17281085,10.95,2.4,66.22920338,24.64185812,24.77106423,78.67633082,11.95,2.4,59.87438927,23.68784025,23.72801364,75.46284335,12.95,2.4,54.5432313,22.81162897,22.76243373,72.49877493,13.95,2.4,50.00232753,22.00439108,21.86547572,69.75564206
8.95,2.5,84.88891912,26.69742925,27.01268259,87.37535998,9.95,2.5,75.14440525,25.56571566,25.79256636,83.51288929,10.95,2.5,67.31353475,24.53321686,24.67135818,79.97548347,11.95,2.5,60.86597648,23.58778402,23.63689402,76.72317612,12.95,2.5,55.45606077,22.71917896,22.67892034,73.72227567,13.95,2.5,50.84728124,21.91871302,21.78873284,70.94417903
8.95,2.6,86.17634908,26.56907551,26.89325997,88.71179815,9.95,2.6,76.30061855,25.44832915,25.68411532,84.8086663,10.95,2.6,68.36290292,24.42544635,24.57252611,81.23258817,11.95,2.6,61.82621981,23.48849301,23.54654302,77.94351549,12.95,2.6,56.3405672,22.62740457,22.5960861,74.90766294,13.95,2.6,51.66647123,21.83363402,21.7125927,72.09632846
8.95,2.7,87.42136979,26.44185129,26.77496983,90.00406622,9.95,2.7,77.41962887,25.33192531,25.57665006,86.0626059,10.95,2.7,69.37923485,24.31853552,24.47455697,82.44997581,11.95,2.7,62.75684186,23.38995788,23.45695128,79.12607232,12.95,2.7,57.19830353,22.53629788,22.51392308,76.05703886,13.95,2.7,52.46130745,21.74914731,21.63704852,73.21409358
8.95,2.8,88.62625881,26.31574098,26.65779659,91.25454913,9.95,2.8,78.50342524,25.21649115,25.47015762,87.27695718,10.95,2.8,70.36429019,24.21247347,24.37743988,83.62977362,11.95,2.8,63.65941544,23.29216944,23.36810965,80.27286402,12.95,2.8,58.03068749,22.44585106,22.43242351,77.17232134,13.95,2.8,53.23307686,21.66524621,21.56209364,74.29930179
8.95,2.9,89.79310365,26.19072925,26.54172493,92.46543159,9.95,2.9,79.5538305,25.10201392,25.36462524,88.4537801,10.95,2.9,71.31968135,24.1072495,24.28116416,84.77392973,11.95,2.9,64.53538156,23.19511864,23.28000909,81.38573787,12.95,2.9,58.8390178,22.35605645,22.3515797,78.25526637,13.95,2.9,53.98295827,21.58192415,21.48772153,75.35362595
8.95,3,90.92382367,26.06680106,26.42673982,93.63872131,9.95,3,80.57252048,24.98848108,25.2600404,89.59496755,10.95,3,72.24689052,24.00285309,24.18571929,85.88423403,11.95,3,65.38606471,23.09879659,23.19264072,82.46639092,12.95,3,59.62448805,22.26690645,22.2713841,79.30748688,13.95,3,54.7120349,21.49917465,21.4139257,76.37860251
8.95,3.1,92.02018885,25.94394165,26.31282651,94.77626885,9.95,3.1,81.56104044,24.8758803,25.15639079,90.70226409,10.95,3.1,73.14728428,23.89927387,24.09109493,86.96233599,11.95,3.1,66.21268592,23.00319453,23.1059958,83.51638691,12.95,3.1,60.38819845,22.17839363,22.19182927,80.33046893,13.95,3.1,55.42130512,21.41699133,21.3406998,77.37564684
8.95,3.2,93.08383583,25.82213649,26.1999705,95.87978461,9.95,3.2,82.52081912,24.76419947,25.05366433,91.77728202,10.95,3.2,74.02212604,23.79650167,23.99728092,88.00975988,11.95,3.2,67.01637393,22.90830384,23.02006571,84.53717073,12.95,3.2,61.13116594,22.09051063,22.11290788,81.32558551,13.95,3.2,56.11169166,21.33536791,21.26803756,78.3460665
8.95,3.3,94.11628189,25.70137136,26.08815757,96.95085359,9.95,3.3,83.45318095,24.6534267,24.95184912,92.82151531,10.95,3.3,74.87258689,23.69452648,23.90426725,89.02791799,11.95,3.3,67.79817491,22.81411603,22.93484201,85.530081,12.95,3.3,61.85433299,22.00325024,22.03461273,82.29410849,13.95,3.3,56.78404955,21.2542982,21.1959328,79.29107263
8.95,3.4,95.11893695,25.58163225,25.97737374,97.99094806,9.95,3.4,84.35935661,24.54355028,24.85093349,93.83635161,10.95,3.4,75.69975493,23.59333844,23.81204411,90.01812201,11.95,3.4,68.55906081,22.72062276,22.85031634,86.4963609,12.95,3.4,62.55857514,21.91660533,21.95693672,83.23721895,13.95,3.4,57.43917307,21.17377607,21.12437943,80.21178981
8.95,3.5,96.09311411,25.46290543,25.86760529,99.00143872,9.95,3.5,85.24049221,24.43455873,24.75090595,94.82308277,10.95,3.5,76.50464344,23.49292786,23.7206018,90.98159301,11.95,3.5,69.29993668,22.62781582,22.76648052,87.43716761,12.95,3.5,63.2447076,21.83056888,21.87987284,84.1560162,13.95,3.5,58.07780168,21.09379554,21.05337145,81.10926466
8.95,3.6,97.04003887,25.3451774,25.75883873,99.98360437,9.95,3.6,86.09765737,24.32644074,24.65175522,95.782914,10.95,3.6,77.28819803,23.39328522,23.62993082,91.91947011,11.95,3.6,70.02164711,22.5356871,22.68332647,88.35358062,12.95,3.6,63.91349104,21.74513401,21.8034142,85.05152565,13.95,3.6,58.70062532,21.01435065,20.98290295,81.98447338
8.95,3.7,97.96085722,25.22843491,25.65106083,100.9386404,9.95,3.7,86.93185228,24.21918519,24.55347019,96.71697193,10.95,3.7,78.05130291,23.29440114,23.54002181,92.8328181,11.95,3.7,70.72498178,22.44422866,22.60084624,89.24660891,12.95,3.7,64.56563666,21.6602939,21.72755403,85.9247057,13.95,3.7,59.30828904,20.93543558,20.9129681,82.8383283
8.95,3.8,98.85664276,25.11266492,25.54425856,101.8676666,9.95,3.8,87.74401399,24.11278117,24.45603997,97.62631174,10.95,3.8,78.79478643,23.19626639,23.45086556,93.72263423,11.95,3.8,71.41068046,22.35343264,22.519032,90.11719743,12.95,3.8,65.20181068,21.57604185,21.65228563,86.77645385,13.95,3.8,59.90139703,20.85704456,20.84356117,83.67168375
8.95,3.9,99.72840308,24.99785463,25.43841915,102.7717332,9.95,3.9,88.5350219,24.00721793,24.35945383,98.51192338,10.95,3.9,79.51942599,23.0988719,23.362453,94.58985411,11.95,3.9,72.07943739,22.26329134,22.43787606,90.96623269,12.95,3.9,65.82263829,21.49237126,21.57760242,87.60761209,13.95,3.9,60.48051623,20.77917192,20.77467648,84.48534113
8.95,4,100.5770853,24.88399149,25.33353004,103.6518275,9.95,4,89.30570268,23.90248491,24.26370121,99.37473726,10.95,4,80.22595237,23.00220874,23.27477522,95.43535702,11.95,4,72.73190518,22.17379715,22.35737084,91.79454781,12.95,4,66.42870715,21.40927563,21.50349791,88.41897164,13.95,4,61.04617957,20.70181206,20.70630848,85.28005356
8.95,4.1,101.4035812,24.77106311,25.22957889,104.5088787,9.95,4.1,90.05683469,23.79857172,24.16877176,100.2156291,10.95,4.1,80.91505363,22.90626811,23.18782345,96.25997063,11.95,4.1,73.36869827,22.08494259,22.27750886,92.60292699,12.95,4.1,67.02057055,21.32674855,21.42996572,89.21127728,13.95,4.1,61.59888876,20.62495948,20.63845164,86.05652984
8.95,4.2,102.2087316,24.65905737,25.12655356,105.3437628,9.95,4.2,90.78915183,23.69546816,24.07465526,101.0354245,10.95,4.2,81.58737857,22.81104137,23.10158905,97.06447518,11.95,4.2,73.99039605,21.99672029,22.19828277,93.3921095,12.95,4.2,67.59875021,21.24478371,21.35699954,89.98523108,13.95,4.2,62.13911687,20.54860872,20.57110056,86.81543816
8.95,4.3,102.9933303,24.54796232,25.02444214,106.1573065,9.95,4.3,91.50334712,23.59316416,23.9813417,101.8349028,10.95,4.3,82.24353983,22.71652001,23.01606353,97.84960728,11.95,4.3,74.59754562,21.909123,22.11968533,94.16279327,12.95,4.3,68.16373877,21.16337488,21.28459317,90.74149583,13.95,4.3,62.66731059,20.47275443,20.50424989,87.5574093
8.95,4.4,103.758128,24.43776624,24.92323291,106.9502915,9.95,4.4,92.2000758,23.49164986,23.8888212,102.6148008,10.95,4.4,82.8841167,22.62269564,22.93123853,98.61606326,11.95,4.4,75.19066431,21.82214356,22.04170942,94.91563807,12.95,4.4,68.71600204,21.08251595,21.2127405,91.48069811,13.95,4.4,63.18389228,20.39739133,20.43789436,88.28303957
8.95,4.5,104.5038352,24.3284576,24.82291436,107.7234575,9.95,4.5,92.87995821,23.39091553,23.79708405,103.3758158,10.95,4.5,83.50965762,22.52956003,22.84710581,99.36450226,11.95,4.5,75.77024189,21.73577495,21.96434801,95.65126846,12.95,4.5,69.25598105,21.00220086,21.1414355,92.20343104,13.95,4.5,63.68926185,20.32251421,20.37202879,88.99289341
8.95,4.6,105.2311254,24.22002506,24.72347516,108.4775055,9.95,4.6,93.54358233,23.29095161,23.70612073,104.1186087,10.95,4.6,84.12068249,22.43710505,22.76365728,100.0955489,11.95,4.6,76.33674266,21.65001022,21.88759418,96.37027633,12.95,4.6,69.7840939,20.92242366,21.07067224,92.91025674,13.95,4.6,64.18379837,20.24811793,20.30664804,89.68750578
8.95,4.7,105.9406375,24.11245747,24.6249042,109.2131005,9.95,4.7,94.19150616,23.1917487,23.61592182,104.8438064,10.95,4.7,84.71768467,22.34532271,22.68088495,100.809796,11.95,4.7,76.89060727,21.56484255,21.81144112,97.07322333,12.95,4.7,70.30073736,20.8431785,21.00044486,93.60170861,13.95,4.7,64.66786162,20.17419742,20.24174706,90.3673843
8.95,4.8,106.6329786,24.00574388,24.52719052,109.9308742,9.95,4.8,94.82425976,23.09329754,23.5264781,105.5520045,10.95,4.8,85.3011329,22.25420515,22.59878098,101.5078065,11.95,4.8,77.43225437,21.48026521,21.73588211,97.760643,12.95,4.8,70.80628844,20.76445958,20.9307476,94.27829335,13.95,4.8,65.14179344,20.10074769,20.17732089,91.0330112
8.95,4.9,107.3087259,23.89987352,24.43032337,110.6314269,9.95,4.9,95.44234722,22.99558902,23.43778047,106.2437694,10.95,4.9,85.87147297,22.16374462,22.51733763,102.1901158,11.95,4.9,77.96208213,21.39627158,21.66091056,98.43304269,12.95,4.9,71.30110572,20.6862612,20.86157478,94.94049285,13.95,4.9,65.60591897,20.02776381,20.1133646,91.68484507
8.95,5,107.9684287,23.7948358,24.33429218,111.3153302,9.95,5,96.04624844,22.89861418,23.34981999,106.9196399,10.95,5,86.42912931,22.0739335,22.43654731,102.8572335,11.95,5,78.48046969,21.31285513,21.58651995,99.09090537,12.95,5,71.78553062,20.60857776,20.7929208,95.58876581,13.95,5,66.0605478,19.95524093,20.04987337,92.32332248
8.95,5.1,108.6126104,23.6906203,24.23908655,111.9831283,9.95,5.1,96.63642064,22.80236421,23.26258787,107.5801296,10.95,5.1,86.97450634,21.98476427,22.3564025,103.5096451,11.95,5.1,78.98777832,21.23000943,21.51270386,99.73469124,12.95,5.1,72.25988853,20.5314037,20.72478013,96.22354937,13.95,5.1,66.50597499,19.88317424,19.9868424,92.94885948
8.95,5.2,109.2417703,23.58721677,24.14469624,112.6353404,9.95,5.2,97.21329993,22.70683044,23.17607542,108.225728,10.95,5.2,87.50798985,21.89622954,22.27689584,104.1478137,11.95,5.2,79.48435268,21.14772813,21.43945597,100.3648392,12.95,5.2,72.72448985,20.45473358,20.65714732,96.84526045,13.95,5.2,66.94248202,19.81155904,19.924267,93.56185287
8.95,5.3,109.8563847,23.48461514,24.05111119,113.2724618,9.95,5.3,97.77730258,22.61200431,23.09027415,108.8569025,10.95,5.3,88.02994809,21.80832203,22.19802006,104.7721813,11.95,5.3,79.97052179,21.066005,21.36677005,100.9817683,12.95,5.3,73.17963096,20.378562,20.59001703,97.45429707,13.95,5.3,67.37033768,19.74039064,19.86214252,94.16268151
8.95,5.4,110.4569085,23.3828055,23.95832152,113.8949654,9.95,5.4,98.32882628,22.51787743,23.00517564,109.4740995,10.95,5.4,88.54073297,21.72103456,22.11976801,105.3831702,11.95,5.4,80.44660009,20.98483388,21.29463996,101.5858789,12.95,5.4,73.62559509,20.30288367,20.52338394,98.05103955,13.95,5.4,67.78979881,19.66966447,19.80046437,94.7517074
8.95,5.5,111.043777,23.2817781,23.86631748,114.5033035,9.95,5.5,98.86825129,22.42444152,22.92077165,110.0777459,10.95,5.5,89.04068095,21.63436008,22.04213262,105.9811841,11.95,5.5,80.91288826,20.9042087,21.22305966,102.1775536,12.95,5.5,74.06265311,20.22769334,20.45724285,98.63585156,13.95,5.5,68.20111109,19.59937597,19.73922804,95.32927673
8.95,5.6,111.6174062,23.18152336,23.77508951,115.0979087,9.95,5.6,99.39594146,22.33168843,22.83705406,110.6682498,10.95,5.6,89.53011407,21.54829162,21.96510698,106.5666093,11.95,5.6,81.36967411,20.8241235,21.15202319,102.7571589,12.95,5.6,74.4910643,20.15298587,20.39158862,99.20908117,13.95,5.6,68.6045097,19.52952068,19.67842906,95.89572086
8.95,5.7,112.1781946,23.08203183,23.68462819,115.6791949,9.95,5.7,99.9122452,22.23961017,22.75401485,111.2460023,10.95,5.7,90.00934073,21.46282234,21.88868423,107.1398158,11.95,5.7,81.81723327,20.74457238,21.08152468,103.3250456,12.95,5.7,74.91107703,20.07875616,20.32641617,99.77106175,13.95,5.7,69.00021991,19.46009418,19.61806305,96.45135715
8.95,5.8,112.726524,22.98329424,23.59492425,116.2475591,9.95,5.8,100.4174964,22.14819882,22.67164615,111.811378,10.95,5.8,90.47865649,21.37794548,21.81285764,107.7011581,11.95,5.8,82.25582999,20.66554954,21.01155833,103.8815499,12.95,5.8,75.32292937,20.0049992,20.26172051,100.3221128,13.95,5.8,69.3884577,19.39109212,19.55812566,96.99648983
